,molecule_chembl_id,units,IC50,smiles,pIC50
82,CHEMBL248164,nM,130000.0,COc1ccc2[nH]c3c(c2c1)CCN(Cc1ccccc1)C3C(=O)O,3.886056647693163
83,CHEMBL437766,nM,170000.0,COc1ccc2[nH]c3c(c2c1)CCN(C(C)C)C3C(=O)O,3.769551078621726
84,CHEMBL245505,nM,5800.0,CCN1CCc2c([nH]c3ccc(OC)cc23)C1C(=O)O,5.236572006437063
85,CHEMBL397649,nM,1000.0,COc1ccc2[nH]c3c(c2c1)CCN(C)C3C(=O)O,6.0
86,CHEMBL245296,nM,1100.0,O=C(COc1ccc2[nH]c3c(c2c1)CCNC3C(=O)O)c1ccccc1,5.958607314841775
87,CHEMBL396314,nM,12000.0,O=C(O)C1NCCc2c1[nH]c1ccc(OCc3ccccc3)cc21,4.920818753952375
88,CHEMBL246309,nM,28000.0,NC(=O)c1ccc2[nH]c3c(c2c1)CCNC3C(=O)O,4.552841968657781
89,CHEMBL246102,nM,19000.0,O=C(O)C1NCCc2c1[nH]c1ccc(Cl)cc21,4.721246399047171
90,CHEMBL391830,nM,26000.0,O=C(O)C1NCCc2c1[nH]c1ccc(F)cc21,4.585026652029182
91,CHEMBL246101,nM,87000.0,O=C(O)C1NCCc2c1[nH]c1ccccc21,4.060480747381382
92,CHEMBL437554,nM,170000.0,CC(=O)Oc1ccc2[nH]c3c(c2c1)CCNC3C(=O)O,3.769551078621726
93,CHEMBL246100,nM,6600.0,COC(=O)c1ccc2[nH]c3c(c2c1)CCNC3C(=O)O,5.180456064458131
94,CHEMBL246099,nM,4500.0,O=C(O)C1NCCc2c1[nH]c1ccc(O)cc21,5.346787486224656
95,CHEMBL247343,nM,53000.0,COc1cc2c3c([nH]c2cc1O)C(C(=O)O)NCC3,4.275724130399211
96,CHEMBL248364,nM,2700.0,COc1ccc2[nH]c3c(c2c1)C(C)(C)CNC3=O,5.568636235841012
97,CHEMBL246508,nM,480.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4ncc(C(=O)NCCCN(C)C)s4)cc3c21,6.318758762624412
98,CHEMBL246301,nM,10.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)NC5CCN(C)CC5)cs4)cc3c21,8.0
99,CHEMBL397642,nM,250.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)N5CCC(N(C)C)CC5)cs4)cc3c21,6.6020599913279625
100,CHEMBL246300,nM,44.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)NC5CCCCC5)cs4)cc3c21,7.356547323513812
101,CHEMBL246299,nM,45.0,CCCNC(=O)c1csc(NC(=O)c2ccc3[nH]c4c(c3c2)C(C)CNC4=O)n1,7.346787486224656
102,CHEMBL246090,nM,21.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)NCCC(N)=O)cs4)cc3c21,7.6777807052660805
103,CHEMBL246089,nM,124.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)NCC(N)=O)cs4)cc3c21,6.906578314837764
104,CHEMBL246088,nM,35.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)NCCCN(C)C)cs4)cc3c21,7.455931955649724
105,CHEMBL396160,nM,17.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)NCCN)cs4)cc3c21,7.769551078621726
106,CHEMBL245884,nM,34.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)NCCN(C)C)cs4)cc3c21,7.468521082957745
107,CHEMBL245883,nM,333.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)N(C)C)cs4)cc3c21,6.47755576649368
108,CHEMBL396159,nM,72.0,CNC(=O)c1csc(NC(=O)c2ccc3[nH]c4c(c3c2)C(C)CNC4=O)n1,7.142667503568731
109,CHEMBL245682,nM,120.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4ncc(C(N)=O)s4)cc3c21,6.920818753952375
110,CHEMBL245680,nM,770.0,COC(=O)c1cnc(NC(=O)c2ccc3[nH]c4c(c3c2)C(C)CNC4=O)s1,6.113509274827518
111,CHEMBL397332,nM,83.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(N)=O)cs4)cc3c21,7.080921907623926
112,CHEMBL245485,nM,750.0,COC(=O)c1csc(NC(=O)c2ccc3[nH]c4c(c3c2)C(C)CNC4=O)n1,6.1249387366083
113,CHEMBL247333,nM,620.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4ccc(C(N)=O)nc4)cc3c21,6.207608310501746
114,CHEMBL394926,nM,760.0,COC(=O)c1ccc(NC(=O)c2ccc3[nH]c4c(c3c2)C(C)CNC4=O)cn1,6.119186407719209
115,CHEMBL442419,nM,620.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4ccc(C(N)=O)cc4)cc3c21,6.207608310501746
116,CHEMBL246082,nM,930.0,COC(=O)c1ccc(NC(=O)c2ccc3[nH]c4c(c3c2)C(C)CNC4=O)cc1,6.031517051446064
117,CHEMBL245475,nM,1700.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4ccc(C#N)cc4)cc3c21,5.769551078621726
118,CHEMBL245473,nM,1700.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4ccc(Cl)cc4)cc3c21,5.769551078621726
119,CHEMBL248335,nM,7700.0,CC(C)c1ccc(NC(=O)c2ccc3[nH]c4c(c3c2)C(C)CNC4=O)cc1,5.113509274827518
120,CHEMBL248533,nM,3000.0,Cc1ccc(NC(=O)c2ccc3[nH]c4c(c3c2)C(C)CNC4=O)cc1,5.522878745280337
121,CHEMBL248331,nM,7400.0,CCOC(=O)c1cccc(NC(=O)c2ccc3[nH]c4c(c3c2)C(C)CNC4=O)c1,5.130768280269024
122,CHEMBL246910,nM,770.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4cccc(C#N)c4)cc3c21,6.113509274827518
123,CHEMBL395592,nM,1300.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4cccc(Cl)c4)cc3c21,5.886056647693163
124,CHEMBL394262,nM,9700.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4ccccc4F)cc3c21,5.013228265733755
125,CHEMBL392597,nM,1500.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc5ccccc5s4)cc3c21,5.823908740944319
126,CHEMBL392596,nM,440.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4cnccn4)cc3c21,6.356547323513812
127,CHEMBL246480,nM,1500.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4ccncn4)cc3c21,5.823908740944319
128,CHEMBL394735,nM,1500.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4ccon4)cc3c21,5.823908740944319
129,CHEMBL247510,nM,820.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nccs4)cc3c21,6.086186147616283
130,CHEMBL247509,nM,760.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4ccncc4)cc3c21,6.119186407719209
131,CHEMBL437943,nM,520.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4cccnc4)cc3c21,6.2839966563652006
132,CHEMBL393057,nM,2900.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4ccccc4)cc3c21,5.537602002101044
133,CHEMBL393056,nM,12000.0,CNC(=O)c1ccc2[nH]c3c(c2c1)C(C)CNC3=O,4.920818753952375
134,CHEMBL246892,nM,5400.0,CC1CNC(=O)c2[nH]c3ccc(C(N)=O)cc3c21,5.267606240177031
135,CHEMBL394494,nM,15000.0,CC1CNC(=O)c2[nH]c3ccc(Br)cc3c21,4.823908740944319
136,CHEMBL246526,nM,4500.0,COc1ccc2[nH]c3c(c2c1)C(C)CNC3=O,5.346787486224656
137,CHEMBL248366,nM,1100.0,COc1ccc2[nH]c3c(c2c1)C1(CCC1)CNC3=O,5.958607314841775
138,CHEMBL391983,nM,3000.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4ccccc4C(N)=O)cc3c21,5.522878745280337
139,CHEMBL246507,nM,1300.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4ncc(C(=O)NCCN(C)C)s4)cc3c21,5.886056647693163
140,CHEMBL395932,nM,31.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4nc(C(=O)NCCO)cs4)cc3c21,7.508638306165727
141,CHEMBL397388,nM,1800.0,CC(=O)Nc1ccc(NC(=O)c2ccc3[nH]c4c(c3c2)C(C)CNC4=O)cc1,5.7447274948966935
142,CHEMBL245474,nM,7000.0,CC1CNC(=O)c2[nH]c3ccc(C(=O)Nc4ccc(Br)cc4)cc3c21,5.154901959985743
